0016070 Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Open Approach
0016071 Bypass Cerebral Ventricle to Mastoid Sinus with Autologous Tissue Substitute, Open Approach
0016072 Bypass Cerebral Ventricle to Atrium with Autologous Tissue Substitute, Open Approach
0016073 Bypass Cerebral Ventricle to Blood Vessel with Autologous Tissue Substitute, Open Approach
0016074 Bypass Cerebral Ventricle to Pleural Cavity with Autologous Tissue Substitute, Open Approach
0016075 Bypass Cerebral Ventricle to Intestine with Autologous Tissue Substitute, Open Approach
0016076 Bypass Cerebral Ventricle to Peritoneal Cavity with Autologous Tissue Substitute, Open Approach
0016077 Bypass Cerebral Ventricle to Urinary Tract with Autologous Tissue Substitute, Open Approach
0016078 Bypass Cerebral Ventricle to Bone Marrow with Autologous Tissue Substitute, Open Approach
001607B Bypass Cerebral Ventricle to Cerebral Cisterns with Autologous Tissue Substitute, Open Approach
00160J0 Bypass Cerebral Ventricle to Nasopharynx with Synthetic Substitute, Open Approach
00160J1 Bypass Cerebral Ventricle to Mastoid Sinus with Synthetic Substitute, Open Approach
00160J2 Bypass Cerebral Ventricle to Atrium with Synthetic Substitute, Open Approach
00160J3 Bypass Cerebral Ventricle to Blood Vessel with Synthetic Substitute, Open Approach
00160J4 Bypass Cerebral Ventricle to Pleural Cavity with Synthetic Substitute, Open Approach
00160J5 Bypass Cerebral Ventricle to Intestine with Synthetic Substitute, Open Approach
00160J6 Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Open Approach
00160J7 Bypass Cerebral Ventricle to Urinary Tract with Synthetic Substitute, Open Approach
00160J8 Bypass Cerebral Ventricle to Bone Marrow with Synthetic Substitute, Open Approach
00160JB Bypass Cerebral Ventricle to Cerebral Cisterns with Synthetic Substitute, Open Approach
00160K0 Bypass Cerebral Ventricle to Nasopharynx with Nonautologous Tissue Substitute, Open Approach
00160K1 Bypass Cerebral Ventricle to Mastoid Sinus with Nonautologous Tissue Substitute, Open Approach
00160K2 Bypass Cerebral Ventricle to Atrium with Nonautologous Tissue Substitute, Open Approach
00160K3 Bypass Cerebral Ventricle to Blood Vessel with Nonautologous Tissue Substitute, Open Approach
00160K4 Bypass Cerebral Ventricle to Pleural Cavity with Nonautologous Tissue Substitute, Open Approach
00160K5 Bypass Cerebral Ventricle to Intestine with Nonautologous Tissue Substitute, Open Approach
00160K6 Bypass Cerebral Ventricle to Peritoneal Cavity with Nonautologous Tissue Substitute, Open Approach
00160K7 Bypass Cerebral Ventricle to Urinary Tract with Nonautologous Tissue Substitute, Open Approach
00160K8 Bypass Cerebral Ventricle to Bone Marrow with Nonautologous Tissue Substitute, Open Approach
00160KB Bypass Cerebral Ventricle to Cerebral Cisterns with Nonautologous Tissue Substitute, Open Approach
00160ZB Bypass Cerebral Ventricle to Cerebral Cisterns, Open Approach
0016370 Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Percutaneous Approach
0016371 Bypass Cerebral Ventricle to Mastoid Sinus with Autologous Tissue Substitute, Percutaneous Approach
0016372 Bypass Cerebral Ventricle to Atrium with Autologous Tissue Substitute, Percutaneous Approach
0016373 Bypass Cerebral Ventricle to Blood Vessel with Autologous Tissue Substitute, Percutaneous Approach
0016374 Bypass Cerebral Ventricle to Pleural Cavity with Autologous Tissue Substitute, Percutaneous Approach
0016375 Bypass Cerebral Ventricle to Intestine with Autologous Tissue Substitute, Percutaneous Approach
0016376 Bypass Cerebral Ventricle to Peritoneal Cavity with Autologous Tissue Substitute, Percutaneous Approach
0016377 Bypass Cerebral Ventricle to Urinary Tract with Autologous Tissue Substitute, Percutaneous Approach
0016378 Bypass Cerebral Ventricle to Bone Marrow with Autologous Tissue Substitute, Percutaneous Approach
001637B Bypass Cerebral Ventricle to Cerebral Cisterns with Autologous Tissue Substitute, Percutaneous Approach
00163J0 Bypass Cerebral Ventricle to Nasopharynx with Synthetic Substitute, Percutaneous Approach
00163J1 Bypass Cerebral Ventricle to Mastoid Sinus with Synthetic Substitute, Percutaneous Approach
00163J2 Bypass Cerebral Ventricle to Atrium with Synthetic Substitute, Percutaneous Approach
00163J3 Bypass Cerebral Ventricle to Blood Vessel with Synthetic Substitute, Percutaneous Approach
00163J4 Bypass Cerebral Ventricle to Pleural Cavity with Synthetic Substitute, Percutaneous Approach
00163J5 Bypass Cerebral Ventricle to Intestine with Synthetic Substitute, Percutaneous Approach
00163J6 Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Percutaneous Approach
00163J7 Bypass Cerebral Ventricle to Urinary Tract with Synthetic Substitute, Percutaneous Approach
00163J8 Bypass Cerebral Ventricle to Bone Marrow with Synthetic Substitute, Percutaneous Approach
00163JB Bypass Cerebral Ventricle to Cerebral Cisterns with Synthetic Substitute, Percutaneous Approach
00163K0 Bypass Cerebral Ventricle to Nasopharynx with Nonautologous Tissue Substitute, Percutaneous Approach
00163K1 Bypass Cerebral Ventricle to Mastoid Sinus with Nonautologous Tissue Substitute, Percutaneous Approach
00163K2 Bypass Cerebral Ventricle to Atrium with Nonautologous Tissue Substitute, Percutaneous Approach
